Temperature	Date	Time
20	23/02/2022	02:05:44.126547
20	23/02/2022	02:15:44.483884
20	23/02/2022	02:25:44.841268
20	23/02/2022	02:35:45.198584
20	23/02/2022	02:45:45.555993
20	23/02/2022	02:55:48.171988
20	23/02/2022	03:05:48.432631
20	23/02/2022	03:15:48.790202
20	23/02/2022	03:25:49.147528
20	23/02/2022	03:35:49.504866
19	23/02/2022	03:45:49.773298
19	23/02/2022	03:55:50.130661
19	23/02/2022	04:05:50.488020
19	23/02/2022	04:15:50.756573
19	23/02/2022	04:25:51.028654
18	23/02/2022	04:35:51.385773
18	23/02/2022	04:45:51.653602
18	23/02/2022	04:55:51.917117
18	23/02/2022	05:05:52.277253
18	23/02/2022	05:15:52.634555
18	23/02/2022	05:25:52.902031
17	23/02/2022	05:35:53.259093
17	23/02/2022	05:45:53.616350
18	23/02/2022	05:55:53.973794
18	23/02/2022	06:05:54.331174
18	23/02/2022	06:15:54.688450
18	23/02/2022	06:25:55.045614
18	23/02/2022	06:35:55.403008
19	23/02/2022	06:45:55.661087
19	23/02/2022	06:55:55.921112
19	23/02/2022	07:05:56.203924
19	23/02/2022	07:15:56.561281
19	23/02/2022	07:25:56.918645
19	23/02/2022	07:35:57.246849
19	23/02/2022	07:45:57.603501
19	23/02/2022	07:55:57.960844
19	23/02/2022	08:05:58.318191
19	23/02/2022	08:15:58.675528
19	23/02/2022	08:25:59.032866
19	23/02/2022	08:35:59.389325
19	23/02/2022	08:45:59.664628
19	23/02/2022	08:56:00.021928
19	23/02/2022	09:06:00.379137
19	23/02/2022	09:16:00.736282
19	23/02/2022	09:26:01.085235
19	23/02/2022	09:36:01.350200
19	23/02/2022	09:46:01.643870
19	23/02/2022	09:56:01.930513
19	23/02/2022	10:06:02.190388
19	23/02/2022	10:16:02.459906
19	23/02/2022	10:26:02.719257
19	23/02/2022	10:36:03.076348
19	23/02/2022	10:46:03.433709
19	23/02/2022	10:56:03.791029
19	23/02/2022	11:06:04.148425
19	23/02/2022	11:16:06.762982
19	23/02/2022	11:26:07.025794
19	23/02/2022	11:36:09.641667
19	23/02/2022	11:46:09.998830
19	23/02/2022	11:56:10.261084
19	23/02/2022	12:06:10.618447
19	23/02/2022	12:16:10.876438
19	23/02/2022	12:26:11.233747
19	23/02/2022	12:36:11.589230
19	23/02/2022	12:46:14.204335
19	23/02/2022	12:56:14.561833
19	23/02/2022	13:06:14.918726
19	23/02/2022	13:16:15.276105
19	23/02/2022	13:26:15.632218
19	23/02/2022	13:36:15.907798
19	23/02/2022	13:46:18.523746
19	23/02/2022	13:56:18.881055
19	23/02/2022	14:06:19.149495
19	23/02/2022	14:16:19.506856
19	23/02/2022	14:26:19.864162
19	23/02/2022	14:36:22.479844
19	23/02/2022	14:46:22.763875
19	23/02/2022	14:56:23.121172
19	23/02/2022	15:06:23.478498
19	23/02/2022	15:16:23.754336
19	23/02/2022	15:26:24.111525
19	23/02/2022	15:36:24.468707
20	23/02/2022	15:46:24.824382
19	23/02/2022	15:56:25.181493
20	23/02/2022	16:06:25.482971
20	23/02/2022	16:16:25.840305
20	23/02/2022	16:26:26.197697
20	23/02/2022	16:36:26.467604
21	23/02/2022	16:46:26.824774
21	23/02/2022	16:56:27.182136
20	23/02/2022	17:06:29.798038
20	23/02/2022	17:16:30.154311
21	23/02/2022	17:26:30.511113
21	23/02/2022	17:36:30.868651
21	23/02/2022	17:46:31.133075
21	23/02/2022	17:56:31.406586
21	23/02/2022	18:06:31.764450
20	23/02/2022	18:16:32.121911
21	23/02/2022	18:26:32.387217
21	23/02/2022	18:36:35.003077
21	23/02/2022	18:46:35.360553
21	23/02/2022	18:56:35.717713
21	23/02/2022	19:06:36.075097
21	23/02/2022	19:16:36.363916
21	23/02/2022	19:26:36.628343
21	23/02/2022	19:36:36.985852
21	23/02/2022	19:46:37.343261
21	23/02/2022	19:56:37.603812
21	23/02/2022	20:06:37.961127
21	23/02/2022	20:16:40.577123
21	23/02/2022	20:26:40.837808
21	23/02/2022	20:36:41.163900
22	23/02/2022	20:46:41.521192
21	23/02/2022	20:56:41.878532
22	23/02/2022	21:06:42.235871
21	23/02/2022	21:16:42.592546
21	23/02/2022	21:26:42.950031
21	23/02/2022	21:36:43.307413
21	23/02/2022	21:46:43.624808
21	23/02/2022	21:56:43.882580
21	23/02/2022	22:06:44.239933
21	23/02/2022	22:16:46.854933
21	23/02/2022	22:26:47.212365
20	23/02/2022	22:36:49.827691
20	23/02/2022	22:46:50.185023
20	23/02/2022	22:56:50.542349
20	23/02/2022	23:06:50.899674
20	23/02/2022	23:16:51.257201
20	23/02/2022	23:26:51.613074
20	23/02/2022	23:36:51.881450
20	23/02/2022	23:46:52.238678
20	23/02/2022	23:56:52.596160
20	24/02/2022	00:06:52.953630
20	24/02/2022	00:16:53.310978
19	24/02/2022	00:26:53.668337
18	24/02/2022	00:36:56.284305
18	24/02/2022	00:46:56.603939
18	24/02/2022	00:56:56.961306
18	24/02/2022	01:06:57.318601
18	24/02/2022	01:16:57.675904
18	24/02/2022	01:26:58.033095
18	24/02/2022	01:36:58.390443
18	24/02/2022	01:46:58.656604
18	24/02/2022	01:56:58.915868
18	24/02/2022	02:06:59.192374
18	24/02/2022	02:16:59.549600
18	24/02/2022	02:26:59.907035
